epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7666,1.98593,3.35035,2.17484,0.01859,0.55913,0.01601,0.00686,2.45076,88.4594,2.801,0.000552299,0.000552299,0.000552299
2,30.4304,2.07079,2.70966,2.23011,0.07511,0.33913,0.06491,0.02564,2.24557,3.90843,2.88025,0.00110065,0.00110065,0.00110065
3,45.1921,2.09692,2.53556,2.23622,0.2634,0.31913,0.20323,0.06813,2.5811,3.68286,2.95572,0.00164167,0.00164167,0.00164167
4,59.9429,2.12456,2.27572,2.23606,0.38473,0.40691,0.40688,0.16424,2.48751,3.12044,2.98906,0.00163399,0.00163399,0.00163399
5,74.748,2.04785,2.19925,2.1562,0.69895,0.40771,0.44916,0.22207,2.16326,2.90655,2.46744,0.00162299,0.00162299,0.00162299
6,89.3148,1.99081,2.14147,2.12822,0.44003,0.45973,0.34158,0.16968,2.39393,2.16936,2.62555,0.00161199,0.00161199,0.00161199
7,103.806,1.92531,2.04649,2.05374,0.48383,0.40443,0.47298,0.21722,2.21415,2.02145,2.50406,0.00160099,0.00160099,0.00160099
8,118.47,1.83123,1.91384,1.96505,0.33165,0.31739,0.223,0.13629,2.24984,28.9563,2.58638,0.00158998,0.00158998,0.00158998
9,133.089,1.86234,1.87224,1.99745,0.52346,0.46261,0.50026,0.24221,2.33489,2.25935,2.62928,0.00157898,0.00157898,0.00157898
10,147.873,1.85834,1.89964,1.998,0.49865,0.37693,0.41941,0.23829,2.0902,2.02596,2.44232,0.00156798,0.00156798,0.00156798
11,162.474,1.80904,1.86003,1.95264,0.64109,0.44087,0.51575,0.26208,2.04182,1.94009,2.40136,0.00155698,0.00155698,0.00155698
12,177.184,1.73528,1.66369,1.88941,0.58283,0.51485,0.53493,0.29161,2.14023,1.81291,2.43666,0.00154598,0.00154598,0.00154598
13,191.995,1.73986,1.69576,1.88833,0.57482,0.44087,0.47688,0.24357,2.09218,1.92532,2.44427,0.00153497,0.00153497,0.00153497
14,207.388,1.68803,1.62681,1.89232,0.46131,0.57574,0.48642,0.25083,2.12282,1.92284,2.51508,0.00152397,0.00152397,0.00152397
15,221.989,1.66438,1.65492,1.85938,0.58885,0.51068,0.52347,0.2755,2.01863,1.98699,2.37207,0.00151297,0.00151297,0.00151297
